title,overview,genres
The Dark Knight,"Batman faces off against the Joker, a criminal mastermind who wants to plunge Gotham City into anarchy and test how far the caped crusader will go to stop him.",Action Crime Drama
Batman Begins,"After witnessing his parents death as a child, Bruce Wayne travels the world to learn how to fight crime and eventually returns to Gotham to become Batman.",Action Adventure Crime
The Avengers,"Earths mightiest heroes must team up to stop Loki and his alien army from enslaving humanity, forcing rivals like Iron Man and Captain America to work together.",Action Adventure Scifi
Iron Man,"Billionaire engineer Tony Stark is captured by terrorists and builds a powered suit of armor to escape, later using the suit to fight crime and injustice as Iron Man.",Action Adventure Scifi
Avengers Endgame,"The remaining Avengers assemble once more to reverse the damage caused by Thanos and undo the loss of half of all life in the universe.",Action Adventure Scifi
Man of Steel,"Clark Kent learns he is an alien from the planet Krypton and must decide whether to reveal himself to the world as Superman to save Earth from an invading Kryptonian general.",Action Adventure Scifi
Wonder Woman,"Diana, an Amazonian princess, leaves her island home to fight in the first World War after discovering her true powers and destiny as Wonder Woman.",Action Adventure Fantasy
Black Panther,"After the death of his father, TChalla returns home to the African nation of Wakanda to take his place as king while facing a challenge from a vengeful enemy.",Action Adventure Scifi
Avatar,"A paraplegic marine is sent to the alien world of Pandora to infiltrate the native Navi people, but ends up falling in love with their culture and fighting to protect it.",Action Adventure Scifi
Interstellar,"A team of explorers travel through a wormhole in space to find a new habitable planet for humanity as Earth becomes uninhabitable, testing the limits of time and love.",Adventure Drama Scifi
Inception,"A skilled thief who steals secrets from peoples dreams is given a chance to have his criminal record erased if he can plant an idea into a targets subconscious mind.",Action Scifi Thriller
The Matrix,"A computer programmer discovers that the world he knows is actually a simulation controlled by machines, and joins a rebellion to free humanity from the machines.",Action Scifi
Star Wars A New Hope,"A young farm boy joins a rebel alliance to save a princess and destroy the Empires ultimate weapon, the Death Star, with the help of a Jedi knight.",Adventure Action Scifi
Guardians of the Galaxy,"A group of misfit space outlaws must work together to protect a powerful artifact from a ruthless conqueror who wants to use it to destroy planets.",Action Adventure Comedy
Blade Runner 2049,"A young blade runner unearths a long buried secret that leads him to track down former blade runner Rick Deckard, who has been missing for thirty years.",Scifi Drama Mystery
Arrival,"A linguist is recruited by the military to communicate with aliens who have landed on Earth in mysterious ships, racing to prevent a global war.",Drama Scifi Mystery
Titanic,"A poor artist and a wealthy young woman fall in love aboard the doomed ship Titanic during its maiden voyage across the Atlantic Ocean in 1912.",Drama Romance
The Notebook,"A poor young man and a rich young woman fall deeply in love over one summer, but are separated by her disapproving parents and the outbreak of war.",Drama Romance
La La Land,"A jazz pianist and an aspiring actress fall in love in Los Angeles while pursuing their dreams, but their careers slowly begin to pull them apart.",Comedy Drama Romance
Pride and Prejudice,"In early nineteenth century England, headstrong Elizabeth Bennet clashes with the proud and wealthy Mr Darcy while her sisters navigate marriage and love.",Drama Romance
Eternal Sunshine of the Spotless Mind,"A heartbroken man undergoes a medical procedure to erase memories of his ex girlfriend, only to realize during the process that he still loves her.",Drama Romance Scifi
Toy Story,"A cowboy doll is threatened when a new spaceman action figure supplants him as top toy in a boys room, and the two must learn to work together.",Animation Adventure Comedy
Finding Nemo,"After his son is captured by a diver, a timid clownfish sets out on a journey across the ocean to find him, meeting many strange sea creatures along the way.",Animation Adventure Comedy
Up,"An elderly widower ties thousands of balloons to his house to fly to South America, only to discover a young stowaway boy scout has come along for the adventure.",Animation Adventure Comedy
Coco,"A young boy dreaming of becoming a musician is accidentally transported to the land of the dead, where he must find his great great grandfather to return home.",Animation Adventure Family
Frozen,"When her kingdom is trapped in eternal winter, a fearless princess sets out to find her estranged sister, whose icy powers caused the endless winter.",Animation Adventure Family
The Lion King,"A young lion prince flees his kingdom after his father is murdered, only to learn the true meaning of responsibility and bravery years later.",Animation Adventure Drama
The Conjuring,"Paranormal investigators help a family terrorized by a dark presence in their farmhouse, uncovering a history of dark witchcraft tied to the home.",Horror Mystery Thriller
It,"A group of kids in a small town are terrorized by an ancient evil entity that takes the form of a clown and preys on their deepest fears.",Horror Drama Fantasy
A Quiet Place,"In a world overrun by blind creatures that hunt by sound, a family must live in silence while trying to protect themselves and find a way to fight back.",Horror Drama Scifi
